Siruta,Localitate,Alimentara,Textila,Lemnului,ChimicaFarmaceutica,Metalurgica,ConstructiiMasini,CalculatoareElectronica,Mobila,Energetica
94125,Alexandru Odobescu,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12206,Seitin,0.0,0.0,0.06858621805241022,0.0,0.0,0.0,0.0,0.0,0.0
53167,Lupac,8.326951951951951,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
151479,Horodnic De Sus,155.747665332571,0.0,1413.1101581856299,0.0,0.0,0.0,0.0,0.0,0.0
126905,Fagetelu,1.5052143684820394,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20411,Magura,438.27952987267383,187.9071498530852,206.8199804113614,8588.148677766896,0.0,0.0,0.0,729.643486777669,0.0
61372,Cogealac,13011.166666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44989,Balaceanu,15.516148689823279,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12224,Sepreus,0.0,110.61128310973513,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28610,Ciuhoi,8.717047451669595,269.4433216168717,409.72451669595785,0.0,0.0,0.0,0.0,14.022407732864675,0.0
151488,Fantana Mare,3453.855116903028,868.8229206592564,9.582215408202376,0.0,0.0,0.0,0.0,0.0,0.0
159687,Oras Isaccea,16.322683706070286,0.0,585.7081375681263,0.0,0.0,343.5654952076677,0.0,0.0,0.0
110535,Balacita,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36809,Cotusca,378.99006488240065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45003,Beceni,670.634476534296,0.0,17.294223826714802,0.0,0.0,0.0,0.0,0.0,0.0
151497,Cosna,0.0,0.0,1782.0645805592544,0.0,0.0,0.0,0.0,0.0,0.0
102348,Crevedia Mare,0.10258514567090685,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
151503,Capu Campului,0.0,0.0,134.6195259140217,0.0,0.0,0.0,0.0,0.0,0.0
94161,Perieti,73.06097887135597,0.0,765.0775608451457,0.0,0.0,0.0,0.0,93.25755549612195,0.0
12242,Sicula,2.421557166238017,0.0,6756.72504091653,0.0,0.0,0.0,0.0,0.0,0.0
53210,Marga,0.0,0.0,511.2456621004566,0.0,0.0,0.0,0.0,0.0,0.0
